ident,name,type,latitude_d,longitude_,elevation_,municipali,LLG_Pcode,LLG_Name,Dis_Pcode,District_Name,Prov_Pcode,Prov_name
AYFS,Fas Airstrip,small_airport,-3.1983,141.472,1219,Fugari,PG150416,Walsa Rural LLG,PG1504,Vanimo/Green River District,PG15,West Sepik (Sandaun) Province
AYFE,Feramin Airport,small_airport,-5.208,141.6988,4655,Feramin,PG150310,Telefomin Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
FIN,Finschhafen Airport,small_airport,-6.621750109,147.85405,60,Buki,PG120233,Finschafen Urban LLG,PG1202,Finschafen District,PG12,Morobe Province
DGG,Fishermans Airfield,closed,-9.5128,147.0505,24,Daugo Island,PG040101,National Capital District,PG0401,National Capital District,PG04,National Capital District
PG-0065,Fiyak Airstrip,small_airport,-4.6771,141.5666,347,Fiyak,PG150310,Telefomin Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
AYFO,Fogomaiu Airstrip,small_airport,-6.5096,143.0794,737,Fogomaiu,PG070723,Mt Bosavi Rural LLG,PG0707,Nipa/Kutubu District,PG07,Southern Highlands Province
AYFK,Foroko Airstrip,small_airport,-5.3283,144.8944,412,Foroko,PG130619,Gama  Rural LLG,PG1306,Usino Bundi District,PG13,Madang Province
AYFR,Frieda River Airport,small_airport,-4.610468,141.960138,217,Frieda River,PG140104,Tunap/Hustein LLG,PG1401,Ambunti/Drekikier District,PG14,East Sepik Province
PG-0066,Fugwa Airstrip,small_airport,-5.7169,142.6968,6100,Koroba,PG210516,North Koroba Rural LLG,PG2105,Koroba/Kopiago District,PG21,Hela Province
FUB,Fulleborn Airport,small_airport,-6.1518,150.6264,36,Fulleborn,PG190101,Gasmata Rural LLG,PG1901,Kandrian/Gloucester District,PG19,West New Britain Province
AYFU,Fuma Airport,small_airport,-6.3933,142.4408,466,Fuma,PG010105,Nomad Rural LLG,PG0101,Middle Fly District,PG01,Western Province
PG-0009,Garaina Airport,small_airport,-7.875625027,147.1412659,2497,Garaina,PG120102,Waria Rural LLG,PG1201,Bulolo District,PG12,Morobe Province
AYGG,Garasa Airport,small_airport,-7.980713,147.213461,2539,Au,PG120102,Waria Rural LLG,PG1201,Bulolo District,PG12,Morobe Province
GRH,Garuahi Airport,closed,-10.225149,150.487667,50,Garuahi,PG050104,Maramatana Rural LLG,PG0501,Alotau District,PG05,Milne Bay Province
PG-GMI,Gasmata Island Airport,small_airport,-6.271110058,150.3309937,23,Gasmata Island,PG190101,Gasmata Rural LLG,PG1901,Kandrian/Gloucester District,PG19,West New Britain Province
AYGS,Gasuke Airport,small_airport,-6.1028,141.7393,157,Gasuke,PG010206,Kiunga Rural LLG,PG0102,North Fly District,PG01,Western Province
AYGQ,Gawa Airstrip,small_airport,-5.259,142.233,6500,Gawa,PG150309,Oksapmin Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
AYGE,Geigorobi Airstrip,small_airport,-4.1055,143.3056,74,Geigorobi,PG140519,Burui/Kunai Rural LLG,PG1405,Wosera Gawi District,PG14,East Sepik Province
AYGM,Gema Airstrip,small_airport,-6.8032,145.7756,1675,Gema,PG110609,Yelia Rural LLG,PG1106,Obura/Wonenara District,PG11,Eastern Highlands Province
GEW,Gewoia Airport,small_airport,-9.2263,148.4949,340,Gewoia,PG060103,Afore Rural LLG,PG0601,Ijivitari District,PG06,Northern (Oro) Province
AYGD,Gimi Airstrip,small_airport,-6.6482,145.4003,5096,Amusa,PG110722,West Okapa Rural LLG,PG1107,Okapa District,PG11,Eastern Highlands Province
PG-0067,Giramben Airstrip,small_airport,-5.7835,144.5568,5128,Giramben,PG220611,North Waghi Rural LLG,PG2206,North Waghi District,PG22,Jiwaka Province
AYGR,Girua Airport,medium_airport,-8.80453968,148.3090057,311,Popondetta,PG060104,Popondetta Urban LLG,PG0601,Ijivitari District,PG06,Northern (Oro) Province
GWN,Gnarowein Airport,closed,-6.555,146.248,525,Gnarowein,PG120617,Onga/Waffa Rural LLG,PG1206,Markham District,PG12,Morobe Province
PG-0010,Gobe Airport,small_airport,-6.8782,143.7219,194,Gobe,PG020210,West Kikori Rural LLG,PG0202,Kikori District,PG02,Gulf Province
AYGO,Gokto Airstrip,small_airport,-4.9136,144.49,259,Gokto,PG130307,Arabaka Rural LLG,PG1303,Middle Ramu District,PG13,Madang Province
GOC,Gora Airstrip,small_airport,-9.0021,148.2364,2497,Gora,PG060103,Afore Rural LLG,PG0601,Ijivitari District,PG06,Northern (Oro) Province
AYGA,Goroka Airport,medium_airport,-6.081689835,145.3919983,5282,Goronka,PG110203,Goroka Urban LLG,PG1102,Goroka District,PG11,Eastern Highlands Province
PG-GVI,Green River Airport,small_airport,-3.902242899,141.170517,281,Green River,PG150414,Green River Rural LLG,PG1504,Vanimo/Green River District,PG15,West Sepik (Sandaun) Province
AYGF,Guari Airport,small_airport,-8.1286,146.8722,6450,Guari,PG030204,Guari Rural LLG,PG0302,Goilala District,PG03,Central Province
