ident,name,type,latitude_d,longitude_,elevation_,LLG_Name,District_Name,Prov_name,Surveyed,strip_type,takeoff_direction,season,width,length,slope,co_ords,elevation_pb,elevation_th,spl_hz,spl_side,spl2_hz,spl2_side,side_slp,clw_1,clw_2,clw_3,clw2_1,clw2_2,clw2_3,dist_obst,dist2_obst,dsc,dsc2,surf_cvr,soil_typ,soil_moist,surf_hdn,surf_rgh,surf_und,surf_com,wind_pr,wind_set,wind_cond,cone_1,cone_2,cone_no,cone_wt,cone_yl,oth_com
OML,Omkalai Airport,closed,-6.179,144.96,5700,Suai Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSE,Omora Airport,small_airport,-7.827777778,147.0806389,2540,Waria Rural LLG,Bulolo District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONB,ONonge Airport,small_airport,-8.674361111,147.2624167,5800,Woitape Rural LLG,Goilala District,Central Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAX,Oram Airport,small_airport,-9.632916667,148.0480556,3500,Rigo Inland Rural LLG,Rigo District,Central Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTY,Oria Airport,small_airport,-6.577613,155.771022,551,Buin LLG,South Bougainville District,AutoNomous Region of Bougainville,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0053,Oriomo Airstrip,small_airport,-8.86,143.18,66,Oriomo-Bituri Rural LLG,South Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSG,Ossima Airport,small_airport,-2.915555556,141.2973056,205,Bewani/Wutung Onei Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYZU,Oum Airstrip,small_airport,-4.2684,142.1273,80,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0050,Owena Airstrip,small_airport,-6.6962,145.8094,5500,Lamari Rural LLG,Obura/Wonenara District,Eastern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLE,Paiela Airport,small_airport,-5.3725,142.9761111,6100,Paiela/Hewa Rural LLG,Lagaip/Pogera District,Enga Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYPW,Panakawa Airport,small_airport,-7.672055556,143.1247222,42,Bamu Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0070,Panasesa Airstrip,small_airport,-10.739,151.7255,13,Bwanabwana Rural LLG,Samarai-Murua District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYPG,Pangia Airport,small_airport,-6.386,144.1084,5340,East Pangia Rural LLG,Ialibu/Pangia District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYPC,Pangoa Airport,small_airport,-7.0226,141.5605,60,Lake Murray Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPX,Param Airport,small_airport,-9.99,149.477,4490,Daga Rural LLG,Alotau District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0036,Pasinkap Airstrip,small_airport,-5.015416667,144.8421389,255,Arabaka Rural LLG,Middle Ramu District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMP,Pimaga Airport,small_airport,-6.499166667,143.5102778,2745,Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDI,Pindiu Airport,small_airport,-6.445138889,147.5158333,2995,Hube Rural LLG,Finschafen District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGE,Porgera Airport,closed,-5.4792,143.1236,7360,Porgera Rural LLG,Lagaip/Pogera District,Enga Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0071,Pori Airstrip,small_airport,-5.5782,142.7065,5235,Awi/Pori Rural LLG,Koroba/Kopiago District,Hela Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYPY,Port Moresby Jacksons International Airport,large_airport,-9.443380356,147.2200012,146,National Capital District,National Capital District,National Capital District,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUA,Puas Airport,small_airport,-2.395,150.2361,45,Lovongai Rural LLG,Kavieng District,New Ireland Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0054,Pukapuki Airstrip,small_airport,-4.5362,142.5176,124,Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYPQ,Pumani Airport,small_airport,-9.7469,149.4766,427,Makamaka Rural LLG,Alotau District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0037,Purari Airstrip,small_airport,-7.391111111,145.166519,90,Baimuru Rural LLG,Kikori District,Gulf Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUI,Pureni Airport,closed,-5.8429,142.8279,5512,South Koroba Rural LLG,Koroba/Kopiago District,Hela Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYPU,Puri Airport,small_airport,-6.475161111,143.9872222,6050,Kuare Rural LLG,Kagua/Erave District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBP,Raba Raba Airport,small_airport,-9.971111111,149.8322222,170,Weraura Rural LLG,Alotau District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAA,Rakanda Airport,small_airport,-4.2096,152.4385,38,Duke of York Rural LLG,Kokopo District,East New Britain Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNR,Robinson River Airport,closed,-10.171,148.823,60,Cloudy Bay Rural LLG,Abau District,Central Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYRG,Rumginae Airport,small_airport,-5.897222222,141.2716667,160,Kiunga Rural LLG,North Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUU,Ruti Airport,small_airport,-5.334444444,144.2566667,1710,Baiyer Rural LLG,Mul/Baiyer District,Western Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYSH,Sabah Airport,small_airport,-5.5765,155.0489,10,Tinputz LLG,North Bougainville District,AutoNomous Region of Bougainville,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFU,Safia Airport,small_airport,-9.593055556,148.6361111,430,Safia Rural LLG,Ijivitari District,Northern (Oro) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDI,Saidor Airport,small_airport,-5.627138889,146.4627778,83,Rai Coast Rural LLG,Rai Coast District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM,Salamo Airport,small_airport,-9.6701,150.7903,30,Dobu Rural LLG,Esa'ala District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYSZ,Samanzing Airstrip,small_airport,-6.4513,147.0673,6042,Nabak Rural LLG,Nawae District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
